Id,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,CentralAir,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageCars,SalePrice
1,8450,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Y,1,0,2,1,3,1,2,208500
2,9600,FR2,Veenker,1Fam,1Story,6,8,1976,1976,Y,0,1,2,0,3,1,2,181500
3,11250,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,Y,1,0,2,1,3,1,2,223500
4,9550,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Y,1,0,1,0,3,1,3,140000
5,14260,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Y,1,0,2,1,4,1,3,250000
6,14115,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Y,1,0,1,1,1,1,2,143000
7,10084,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Y,1,0,2,0,3,1,2,307000
8,10382,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Y,1,0,2,1,3,1,2,200000
9,6120,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,Y,0,0,2,0,2,2,2,129900
10,7420,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Y,1,0,1,0,2,2,1,118000
11,11200,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Y,1,0,1,0,3,1,1,129500
12,11924,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,Y,1,0,3,0,4,1,3,345000
13,12968,Inside,Sawyer,1Fam,1Story,5,6,1962,1962,Y,1,0,1,0,2,1,1,144000
14,10652,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,Y,0,0,2,0,3,1,3,279500
15,10920,Corner,NAmes,1Fam,1Story,6,5,1960,1960,Y,1,0,1,1,2,1,1,157000
16,6120,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Y,0,0,1,0,2,1,2,132000
17,11241,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,Y,1,0,1,0,2,1,2,149000
18,10791,Inside,Sawyer,Duplex,1Story,4,5,1967,1967,Y,0,0,2,0,2,2,2,90000
19,13695,Inside,SawyerW,1Fam,1Story,5,5,2004,2004,Y,1,0,1,1,3,1,2,159000
20,7560,Inside,NAmes,1Fam,1Story,5,6,1958,1965,Y,0,0,1,0,3,1,1,139000
21,14215,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,Y,0,0,3,1,4,1,3,325300
22,7449,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Y,0,0,1,0,3,1,1,139400
23,9742,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,Y,0,0,2,0,3,1,2,230000
24,4224,Inside,MeadowV,TwnhsE,1Story,5,7,1976,1976,Y,1,0,1,0,3,1,2,129900
25,8246,Inside,Sawyer,1Fam,1Story,5,8,1968,2001,Y,1,0,1,0,3,1,1,154000
26,14230,Corner,NridgHt,1Fam,1Story,8,5,2007,2007,Y,0,0,2,0,3,1,3,256300
27,7200,Corner,NAmes,1Fam,1Story,5,7,1951,2000,Y,0,1,1,0,3,1,2,134800
28,11478,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,Y,1,0,2,0,3,1,3,306000
29,16321,CulDSac,NAmes,1Fam,1Story,5,6,1957,1997,Y,1,0,1,0,2,1,1,207500
30,6324,Inside,BrkSide,1Fam,1Story,4,6,1927,1950,N,0,0,1,0,1,1,1,68500
31,8500,Inside,IDOTRR,1Fam,2Story,4,4,1920,1950,N,0,0,1,0,3,1,1,40000
32,8544,CulDSac,Sawyer,1Fam,1Story,5,6,1966,2006,Y,0,0,1,1,3,1,1,149350
33,11049,Corner,CollgCr,1Fam,1Story,8,5,2007,2007,Y,0,0,2,0,3,1,2,179900
34,10552,Inside,NAmes,1Fam,1Story,5,5,1959,1959,Y,0,1,1,1,4,1,2,165500
35,7313,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Y,1,0,2,0,2,1,2,277500
36,13418,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Y,0,0,3,1,4,1,3,309000
37,10859,Corner,CollgCr,1Fam,1Story,5,5,1994,1995,Y,0,0,1,1,3,1,2,145000
38,8532,Inside,NAmes,1Fam,1Story,5,6,1954,1990,Y,0,1,1,0,3,1,2,153000
39,7922,Inside,NAmes,1Fam,1Story,5,7,1953,2007,Y,1,0,1,0,3,1,1,109000
40,6040,Inside,Edwards,Duplex,1Story,4,5,1955,1955,N,0,0,2,0,2,2,0,82000
41,8658,Inside,NAmes,1Fam,1Story,6,5,1965,1965,Y,0,0,2,0,3,1,2,160000
42,16905,Inside,Timber,1Fam,1Story,5,6,1959,1959,Y,0,1,1,1,2,1,1,170000
43,9180,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,1983,Y,1,0,1,0,2,1,2,144000
44,9200,CulDSac,CollgCr,1Fam,1Story,5,6,1975,1980,Y,1,0,1,0,3,1,1,130250
45,7945,Inside,NAmes,1Fam,1Story,5,6,1959,1959,Y,1,0,1,0,3,1,1,141000
46,7658,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Y,1,0,2,0,2,1,2,319900
47,12822,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Y,1,0,1,1,1,1,2,239686
48,11096,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Y,0,0,2,0,3,1,3,249700
49,4456,Inside,OldTown,2fmCon,2Story,4,5,1920,2008,Y,0,0,2,0,2,3,0,113000
50,7742,Inside,Sawyer,1Fam,1Story,5,7,1966,1966,Y,1,0,1,0,3,1,1,127000
51,13869,Corner,Gilbert,1Fam,2Story,6,6,1997,1997,Y,0,1,2,0,3,1,2,177000
52,6240,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Y,0,0,1,0,3,1,2,114500
53,8472,Corner,IDOTRR,Duplex,1Story,5,5,1963,1963,N,1,0,1,0,2,1,2,110000
54,50271,Inside,Veenker,1Fam,1Story,9,5,1981,1987,Y,2,0,0,1,0,1,3,385000
55,7134,Inside,NAmes,1Fam,SLvl,5,5,1955,1955,Y,0,0,1,0,3,1,2,130000
56,10175,Inside,NAmes,1Fam,1Story,6,5,1964,1964,Y,0,0,2,0,3,1,2,180500
57,2645,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,Y,1,0,2,1,3,1,2,172500
58,11645,Corner,CollgCr,1Fam,2Story,7,5,2004,2004,Y,0,0,2,1,3,1,2,196500
59,13682,CulDSac,StoneBr,1Fam,2Story,10,5,2006,2006,Y,0,0,3,1,3,1,3,438780
60,7200,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,Y,0,0,1,0,2,1,1,124900
61,13072,Inside,SawyerW,1Fam,1Story,6,5,2004,2004,Y,1,0,1,1,3,1,2,158000
62,7200,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,N,0,0,1,0,3,1,1,101000
63,6442,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,Y,0,0,2,0,2,1,2,202500
64,10300,Inside,OldTown,1Fam,2Story,7,6,1921,1950,Y,0,0,2,0,3,1,2,140000
65,9375,Inside,CollgCr,1Fam,2Story,7,5,1997,1998,Y,1,0,2,1,3,1,2,219500
66,9591,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Y,0,0,2,1,4,1,3,317000
67,19900,Inside,NAmes,1Fam,1Story,7,5,1970,1989,Y,1,0,2,0,3,1,2,180000
68,10665,Inside,CollgCr,1Fam,1Story,7,5,2003,2003,Y,1,0,2,0,3,1,2,226000
69,4608,Corner,OldTown,1Fam,1Story,4,6,1945,1950,Y,0,0,1,0,2,1,1,80000
